b05201005,100
b05201035,100
b05201014,100
b05201006,100
b05201007,100
b05201009,100
b05201048,100
b05201018,100
b05201024,100
b05201015,100
b05201052,100
b05201037,100
b05201022,100
b05201021,100
b05201032,100
r06323001,100
b02201037,100
b04303131,100
t07902103,100
b04602010,100
b03703031,100
b03703021,100
b03502026,100
b04209041,100
b05303049,100
b05201020,100
b06201039,100
b06201023,100
b05202021,100
b03202055,66.66666667
b04201035,66.66666667
b05202077,66.66666667
b05201017,100
b05201026,100
b05201027,100
b05201029,100
b05201019,100
b05201028,100
b05201040,100
b05201023,100
b05201045,100
b05204039,100
b05201034,100
b05901038,66.66666667
b05901041,66.66666667
b04201055,66.66666667
b05201010,100
b05201051,100
b05201025,100
b04201031,100
b04201042,100
b04303012,100
b05201041,100
b05201004,100
b05201049,100
b06705057,100
b04901168,100
b04902109,100
b04901047,100
b04901166,100
b05201001,33.33333333
b05201012,33.33333333
b05201050,33.33333333
b05201046,100
b05201016,100
b05502017,100
b02201004,66.66666667
b03201012,66.66666667
b03201035,66.66666667
